,kp,kd,ki,y_target,y_pred,y_error
0,65.0,1925.447230851179,0.016290948482129728,0.14,0.14367643351093354,0.026260239363810885
1,65.0,1529.5047548846228,0.010120925952360017,0.16,0.16048057352941186,0.0030035845588241225
2,40.23513785997434,2000.0,0.012852585311297862,0.18,0.18143304761904758,0.007961375661375466
3,41.39592901465786,2000.0,0.006,0.19999999999999998,0.20009999999999983,0.000499999999999251
4,28.195418248963172,1675.0211882545727,0.006,0.21999999999999997,0.21917490476190477,0.0037504329004327645
5,23.15701085597952,1976.766068620455,0.02,0.23999999999999996,0.24337330952380953,0.014055456349206545
6,19.538405117867537,1874.8879370837574,0.02,0.25999999999999995,0.24337330952380953,0.06394880952380932
7,65.0,1400.0,0.012373348115014473,0.2799999999999999,0.2778510158730159,0.007674943310657142
8,10.0,1800.487089999674,0.010278568097884027,0.29999999999999993,0.3137354444444445,0.04578481481481527
9,17.671715298623884,1551.5562977075613,0.006,0.31999999999999995,0.3212783333333332,0.00399479166666647
10,10.0,1497.6693479009846,0.02,0.3399999999999999,0.3344591944444448,0.016296486928103357
11,10.0,1808.2909015922571,0.02,0.3599999999999999,0.35804825396825385,0.005421516754850076
12,11.96036990766431,1784.8556776224987,0.01941550682513227,0.3799999999999999,0.35737825396825385,0.05953091060985804
13,10.0,2000.0,0.006,0.3999999999999999,0.4152892142857143,0.03822303571428599
14,10.0,1749.8825006601983,0.02,0.4199999999999999,0.35737825396825385,0.14909939531368108
15,10.0,2000.0,0.006,0.43999999999999984,0.4152892142857143,0.05616087662337623
16,11.541701085545219,2000.0,0.01257155542235863,0.45999999999999985,0.36410082142857125,0.20847647515527964
17,10.0,1400.0,0.007527383533552809,0.47999999999999987,0.5742476666666667,0.19634930555555596
18,10.0,1655.264731159334,0.006,0.49999999999999983,0.5723348333333331,0.14466966666666664
19,10.0,1848.1626432869466,0.006,0.5199999999999998,0.5438128333333332,0.04579391025641039
20,10.0,1677.8579834744978,0.006,0.5399999999999998,0.5723348333333331,0.059879320987654305
21,10.0,1400.0,0.006,0.5599999999999998,0.5742476666666667,0.025442261904762294
22,10.0,1689.587055471581,0.006,0.5799999999999998,0.5723348333333331,0.013215804597701249
